sample_id,label,bandit_high,bandit_medium,bandit_low,bandit_conf_high,bandit_conf_medium,bandit_conf_low,semgrep_high,semgrep_medium,semgrep_low,total_bandit,total_semgrep,risk_score
sample_85,1,1,0,1,1,1,0,0,1,0,2,1,99.98552312411095
docs_src/options/version/tutorial003_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_67,1,0,1,0,1,0,0,0,0,0,1,0,72.81506731208151
docs_src/options/version/tutorial002_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_27,1,1,1,0,1,1,0,3,0,0,2,3,99.9999997273295
sample_84,1,0,0,1,0,1,0,0,0,0,1,0,93.29092628058919
rich/_unicode_data/unicode13-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/tree.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_53,1,1,1,0,2,0,0,0,1,0,2,1,99.92489043328642
rich/_unicode_data/unicode10-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_1,1,0,1,1,2,0,0,0,0,0,2,0,87.04185593916334
sample_78,1,0,0,1,1,0,0,0,1,0,1,1,91.74527122192012
rich/__main__.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/validation/validation.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/inout/inout.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/dynamic_progress.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/options/help/tutorial002_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/commands/callback/tutorial001_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/layout.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
rich/_unicode_data/unicode17-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_23,1,0,1,0,1,0,0,0,1,0,1,1,98.14716915906936
sample_117,1,0,1,0,0,0,1,0,2,0,1,2,99.92458559760716
src/click/_winconsole.py,0,0,0,2,2,0,0,0,0,0,2,0,58.49532900960026
sample_14,1,0,0,0,0,0,0,0,1,0,0,1,81.59018643418794
docs_src/options_autocompletion/tutorial004_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/termui/termui.py,0,0,0,2,2,0,0,0,0,0,2,0,58.49532900960026
